id,city_id,name,status,type,code
193,1,Thanh Oai,active,huyen,278
194,1,Thường Tín,active,huyen,279
195,1,Phú Xuyên,active,huyen,280
196,1,Ứng Hòa,active,huyen,281
197,1,Mỹ Đức,active,huyen,282
198,19,Hải Dương,active,thanh-pho,288
199,19,Chí Linh,active,huyen,290
200,19,Nam Sách,active,huyen,291
201,19,Kinh Môn,active,huyen,292
202,19,Kim Thành,active,huyen,293
203,19,Thanh Hà,active,huyen,294
204,19,Cẩm Giàng,active,huyen,295
205,19,Bình Giang,active,huyen,296
206,19,Gia Lộc,active,huyen,297
207,19,Tứ Kỳ,active,huyen,298
208,19,Ninh Giang,active,huyen,299
209,19,Thanh Miện,active,huyen,300
210,20,Hồng Bàng,active,quan,303
211,20,Ngô Quyền,active,quan,304
212,20,Lê Chân,active,quan,305
213,20,Hải An,active,quan,306
214,20,Kiến An,active,quan,307
215,20,Đồ Sơn,active,quan,308
216,20,Kinh Dương,active,quan,309
217,20,Thuỷ Nguyên,active,huyen,311
218,20,An Dương,active,huyen,312
219,20,An Lão,active,huyen,313
220,20,Kiến Thụy,active,huyen,314
221,20,Tiên Lãng,active,huyen,315
222,20,Vĩnh Bảo,active,huyen,316
223,20,Cát Hải,active,huyen,317
224,20,Bạch Long Vĩ,active,huyen,318
225,21,Hưng Yên,active,thanh-pho,323
226,21,Văn Lâm,active,huyen,325
227,21,Văn Giang,active,huyen,326
228,21,Yên Mỹ,active,huyen,327
229,21,Mỹ Hào,active,huyen,328
230,21,Ân Thi,active,huyen,329
231,21,Khoái Châu,active,huyen,330
232,21,Kim Động,active,huyen,331
233,21,Tiên Lữ,active,huyen,332
234,21,Phù Cừ,active,huyen,333
235,22,Thái Bình,active,thanh-pho,336
236,22,Quỳnh Phụ,active,huyen,338
237,22,Hưng Hà,active,huyen,339
238,22,Đông Hưng,active,huyen,340
239,22,Thái Thụy,active,huyen,341
240,22,Tiền Hải,active,huyen,342
241,22,Kiến Xương,active,huyen,343
242,22,Vũ Thư,active,huyen,344
243,23,Phủ Lý,active,thanh-pho,347
244,23,Duy Tiên,active,huyen,349
245,23,Kim Bảng,active,huyen,350
246,23,Thanh Liêm,active,huyen,351
247,23,Bình Lục,active,huyen,352
248,23,Lý Nhân,active,huyen,353
249,24,Nam Định,active,thanh-pho,356
250,24,Mỹ Lộc,active,huyen,358
251,24,Vụ Bản,active,huyen,359
252,24,Ý Yên,active,huyen,360
253,24,Nghĩa Hưng,active,huyen,361
254,24,Nam Trực,active,huyen,362
255,24,Trực Ninh,active,huyen,363
256,24,Xuân Trường,active,huyen,364
257,24,Giao Thủy,active,huyen,365
258,24,Hải Hậu,active,huyen,366
259,25,Ninh Bình,active,thanh-pho,369
260,25,Tam Điệp,active,xa,370
261,25,Nho Quan,active,huyen,372
262,25,Gia Viễn,active,huyen,373
263,25,Hoa Lư,active,huyen,374
264,25,Yên Khánh,active,huyen,375
265,25,Kim Sơn,active,huyen,376
266,25,Yên Mô,active,huyen,377
267,26,Thanh Hóa,active,thanh-pho,380
268,26,Bỉm Sơn,active,xa,381
269,26,Sầm Sơn,active,xa,382
270,26,Mường Lát,active,huyen,384
271,26,Quan Hóa,active,huyen,385
272,26,Bá Thước,active,huyen,386
273,26,Quan Sơn,active,huyen,387
274,26,Lang Chánh,active,huyen,388
275,26,Ngọc Lặc,active,huyen,389
276,26,Cẩm Thủy,active,huyen,390
277,26,Thạch Thành,active,huyen,391
278,26,Hà Trung,active,huyen,392
279,26,Vĩnh Lộc,active,huyen,393
280,26,Yên Định,active,huyen,394
281,26,Thọ Xuân,active,huyen,395
282,26,Thường Xuân,active,huyen,396
283,26,Triệu Sơn,active,huyen,397
284,26,Thiệu Hoá,active,huyen,398
285,26,Hoằng Hóa,active,huyen,399
286,26,Hậu Lộc,active,huyen,400
287,26,Nga Sơn,active,huyen,401
288,26,Như Xuân,active,huyen,402
